id_delito,fecha,franja_horaria,tipo,subtipo,uso_armas,t_respuesta (min),arresto,Id_arresto,Id_oficial,barrio,comuna,latitud,longitud,victimas
DEL1000647041,1/1/2021,0,Lesiones,Siniestro Vial,,47,si,ARR0217701,1100493,Villa Lugano,8,-34.672422,-58.493447,0
DEL1000647043,1/1/2021,10,Lesiones,Siniestro Vial,,112,no,,1100460,San Telmo,1,-34.621941,-58.374171,1
DEL1000647044,1/1/2021,6,Lesiones,Siniestro Vial,,144,no,,1100174,Boca,4,-34.637012,-58.366628,1
DEL1000647045,1/1/2021,10,Lesiones,Siniestro Vial,,43,si,ARR0217702,1100116,Boca,4,-34.637213,-58.367929,0
DEL1000647046,1/1/2021,16,Lesiones,Siniestro Vial,,137,si,ARR0217703,1100019,Floresta,10,-34.63001,-58.476716,0
DEL1000647047,1/1/2021,18,Lesiones,Siniestro Vial,,175,si,ARR0217704,1100187,Palermo,14,-34.587982,-58.411846,0
DEL1000647048,1/1/2021,6,Lesiones,Siniestro Vial,,64,no,,1100149,Vélez Sársfield,10,-34.637367,-58.49068,1
DEL1000647050,1/1/2021,0,Robo (con violencia),,,57,si,ARR0217705,1100459,Barracas,4,-34.649781,-58.390284,0
DEL1000647051,1/1/2021,2,Robo (con violencia),,,130,si,ARR0217706,1100239,Flores,7,-34.620428,-58.464256,0
DEL1000647052,1/1/2021,2,Robo (con violencia),,,178,no,,1100003,Belgrano,13,-34.559963,-58.449159,0
DEL1000647053,1/1/2021,1,Robo (con violencia),,,159,no,,1100377,Palermo,14,-34.585246,-58.412526,0
DEL1000647054,1/1/2021,2,Robo (con violencia),Robo Automotor,Arma cortante,116,no,,1100134,Liniers,9,-34.650219,-58.511674,0
DEL1000647055,1/1/2021,13,Robo (con violencia),,,167,no,,1100487,Caballito,6,-34.62111,-58.441978,0
DEL1000647056,1/1/2021,3,Robo (con violencia),,,29,si,ARR0217707,1100227,Balvanera,3,-34.612215,-58.410191,0
DEL1000647057,1/1/2021,0,Hurto (sin violencia),,,168,no,,1100580,Boedo,5,-34.624584,-58.418166,0
DEL1000647058,1/1/2021,5,Robo (con violencia),,Arma cortante,130,no,,1100012,Retiro,1,-34.590113,-58.373268,0
DEL1000647059,1/1/2021,5,Robo (con violencia),,Arma cortante,45,no,,1100386,Versalles,10,-34.62768,-58.520515,0
DEL1000647060,1/1/2021,3,Hurto (sin violencia),,,141,si,ARR0217708,1100241,Constitución,1,-34.627007,-58.384357,0
DEL1000647061,1/1/2021,6,Robo (con violencia),,,105,no,,1100306,Recoleta,2,-34.591541,-58.396243,0
DEL1000647062,1/1/2021,5,Hurto (sin violencia),Hurto Automotor,,172,si,ARR0217709,1100383,Villa Ortuzar,15,-34.582893,-58.46123,0
DEL1000647063,1/1/2021,6,Hurto (sin violencia),,,134,no,,1100259,Belgrano,13,-34.564868,-58.466762,0
DEL1000647064,1/1/2021,6,Robo (con violencia),,,48,no,,1100564,Almagro,5,-34.604844,-58.428983,0
DEL1000647065,1/1/2021,5,Hurto (sin violencia),,,119,si,ARR0217710,1100251,Retiro,1,-34.596262,-58.379885,0
DEL1000647066,1/1/2021,1,Robo (con violencia),,,89,no,,1100298,Floresta,10,-34.631877,-58.483975,0
DEL1000647067,1/1/2021,3,Robo (con violencia),,,148,no,,1100559,Monserrat,1,-34.613728,-58.390373,0
DEL1000647068,1/1/2021,7,Robo (con violencia),,,121,si,ARR0217711,1100076,Villa Urquiza,12,-34.563494,-58.485047,0
DEL1000647069,1/1/2021,12,Robo (con violencia),,,123,si,ARR0217712,1100438,Villa Crespo,15,-34.59942,-58.429912,0
DEL1000647070,1/1/2021,5,Hurto (sin violencia),,,143,no,,1100458,Villa Soldati,8,-34.661561,-58.445116,0
DEL1000647071,1/1/2021,8,Robo (con violencia),,,94,si,ARR0217713,1100494,Boca,4,-34.636677,-58.362359,0
DEL1000647072,1/1/2021,6,Robo (con violencia),,,55,no,,1100106,Boca,4,-34.627358,-58.361163,0
